VIDEO,TITLE,CREATOR,VIEWS
5uT87igaL8w,Are the boycotts against Israel making an impact? | The Stream,Al Jazeera English,850K
fjd1JQ-wl7w,Muslim shops in India are boycotting Israeli products | Al Jazeera Newsfeed,Al Jazeera English,438K
edJYbH8oovU,Boycott Israili Products ðŸ”¥#palestine #shorts,Factz Tornado,152K
MiBjWeZVWSE,War on Gaza: Global boycott movement against Israel gains traction,Al Jazeera English,297K
L90eROIcKVE,"Coca-Cola under fire online for ALLOWING ""Israel"" but NOT ""Palestine"" personalised labels",Islam Channel,110K
hsvHWu7w-fc,Why are Turks boycotting western brands? | DW Business,DW News,182K
JR9lWCuOaCc,Pakistanis Protest against Israel | Spill Coca Cola on the streets | Israel Hamas War | Gaza | Drone,Times Of India,9.3K
"""-pM208gR774""",Western Brands Feel the Heat of Arab Boycotts Amid Gaza War| Oneindia News,Oneindia News,2.6K
7PM2pOppAzo,Coca Cola alternatives - Boycott with healthier options,Aweea,257
mUxRTBbRsIc,Turkiye parliament blocks Israeli goods like Nestle products | WION,WION,50K
vLkX2c11NUg,Israel Gaza Palestine | OIC | Turkey Boycott Coca Cola | Viral Latest News | MrReactionWala,Mr Reaction Wala,52K
nuyrVUYIaPg,BOYCOTT ISRAEL ðŸ«€ðŸ«€ðŸ«€ || Buy Pakistani products #shorts #ytshorts #boycott #israel,Thcberry,9.2K
k9TIGzsbzL8,Boycotting businesses of Isr**l ____ Did Prophet boycott J*ws & other enemies of Islam assim al hakeem,assimalhakeem,263K
igWsYSMO1XM,"Israel-Gaza War: __ ___ __ Nestle __ Coca Cola __ ____ ___, _____ __ ____ ____ __ _____, _____ ___..",News 24,143K
MOKmRO0slXY,_______ ____________ ____ ________-_____ | Coca-Cola is banned | Turkey Parliament | News24,NEWS24,159K
MiBjWeZVWSE,War on Gaza: Global boycott movement against Israel gains traction,Al Jazeera English,298K
"""-pLc2SqEjlE""",BOYCOTT ISRAELI PRODUCTS STARTED?! HOW ARE THEY DOING IT IN YOUR COUNTRY? | Mohammed,Mohammed Bin Ishaq,194K
_C645ye_lbQ,products' that are victims of boycott Israeli products #shorts,this is factor,94K
ySIHd8uVswg,Boycott Israeli Brands and Products #freepalestine #boycott #israel #shorts #trending,Facts by Arman,85K
NwRSLLqkzcc,Can Boycotting Coca Cola & Nestle Punish Israel ? Turkish Govt & Pakistan Ulema fooling its people,Dr. Qamar Cheema,36K
aAJCxRGuBlg,Boycott Coca Cola ____#ytshortpakistan#youtubeshortsÊ#viralshortsÊ#youtubeshort,Bisma Khurram,2.5K
nuyrVUYIaPg,BOYCOTT ISRAEL ______ || Buy Pakistani productsÊ#shortsÊ#ytshortsÊ#boycottÊ#israel,Thcberry,9.2K
